LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",71,"Registered signal handlers for [TERM, HUP, INT]'
Started reading broadcast variable {variable}","Registered signal handlers for {signals}'
Log Message:
Started reading broadcast variable 9
Started reading broadcast variable {variable}","Registered signal handlers for [TERM, HUP, INT]' Started reading broadcast variable <*>",Registered signal handlers for <*>' Log Message: Started reading broadcast variable <*> Started reading broadcast variable <*>
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,69,"Changing view acls to: {acls}'
Started reading broadcast variable {variable}.
Changing view acls to: {acls}.","Changing view acls to: {acls}'
Could you please provide me with the log message you would like me to abstract?",Changing view acls to: <*>' Started reading broadcast variable <*>. Changing view acls to: <*>.,Changing view acls to: <*>' Could you please provide me with the log message you would like me to abstract?
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,69,"Changing modify acls to: {acls}'
Started reading broadcast variable {variable}.
Changing modify acls to: {acls}.","Changing modify acls to: {users},{groups}'
Could you please provide me with the log message you would like me to abstract?",Changing modify acls to: <*>' Started reading broadcast variable <*>. Changing modify acls to: <*>.,"Changing modify acls to: <*>,<*>' Could you please provide me with the log message you would like me to abstract?"
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",97,"SecurityManager: authentication {authentication_status}; ui acls {ui_acls_status}; users with view permissions: {users_with_view_permissions}; users with modify permissions: {users_with_modify_permissions}'
Started reading broadcast variable {variable}
SecurityManager: authentication {authentication_status}
ui acls {ui_acls_status}
users with view permissions: {users_with_view_permissions}
users with modify permissions: {users_with_modify_permissions}","SecurityManager: authentication {authentication}
; ui acls {ui_acls}
; users with view permissions: {users_with_view_permissions}
; users with modify permissions: {users_with_modify_permissions}'
Could you please provide me with the log message you would like me to process and abstract?",SecurityManager: authentication <*>; ui acls <*>; users with view permissions: <*>; users with modify permissions: <*>' Started reading broadcast variable <*> SecurityManager: authentication <*> ui acls <*> users with view permissions: <*> users with modify permissions: <*>,SecurityManager: authentication <*> ; ui acls <*> ; users with view permissions: <*> ; users with modify permissions: <*>' Could you please provide me with the log message you would like me to process and abstract?
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,69,"Changing view acls to: {acls}'
Started reading broadcast variable {variable}.
Changing view acls to: {acls}.","Changing view acls to: {acls}'
Could you please provide me with the log message you would like me to abstract?",Changing view acls to: <*>' Started reading broadcast variable <*>. Changing view acls to: <*>.,Changing view acls to: <*>' Could you please provide me with the log message you would like me to abstract?
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,69,"Changing modify acls to: {acls}'
Started reading broadcast variable {variable}.
Changing modify acls to: {acls}.","Changing modify acls to: {users},{groups}'
Could you please provide me with the log message you would like me to abstract?",Changing modify acls to: <*>' Started reading broadcast variable <*>. Changing modify acls to: <*>.,"Changing modify acls to: <*>,<*>' Could you please provide me with the log message you would like me to abstract?"
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",97,"SecurityManager: authentication {authentication_status}; ui acls {ui_acls_status}; users with view permissions: {users_with_view_permissions}; users with modify permissions: {users_with_modify_permissions}'
Started reading broadcast variable {variable}
SecurityManager: authentication {authentication_status}
ui acls {ui_acls_status}
users with view permissions: {users_with_view_permissions}
users with modify permissions: {users_with_modify_permissions}","SecurityManager: authentication {authentication}
; ui acls {ui_acls}
; users with view permissions: {users_with_view_permissions}
; users with modify permissions: {users_with_modify_permissions}'
Could you please provide me with the log message you would like me to process and abstract?",SecurityManager: authentication <*>; ui acls <*>; users with view permissions: <*>; users with modify permissions: <*>' Started reading broadcast variable <*> SecurityManager: authentication <*> ui acls <*> users with view permissions: <*> users with modify permissions: <*>,SecurityManager: authentication <*> ; ui acls <*> ; users with view permissions: <*> ; users with modify permissions: <*>' Could you please provide me with the log message you would like me to process and abstract?
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E28,Slf4jLogger started,65,SLF4JLogger started,Started slf4logger,SLF4JLogger started,Started slf4logger
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E31,Starting remoting,64,Starting remoting,Starting remoting,Starting remoting,Starting remoting
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[<*>],88,Remoting started; listening on addresses :[akka.tcp://{actorSystemName}@{address}'],Remoting started; listening on addresses :[{protocol}://{address}:{port}],Remoting started; listening on addresses :[akka.tcp://<*>@<*>'],Remoting started; listening on addresses :[<*>://<*>]
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,76,"Started service 'sparkExecutorActorSystem' on port {port}'
Started reading broadcast variable {variable}.

Successfully started service 'sparkExecutorActorSystem' on port {port}.","Started service {{serviceName}} on port {{port}}.'
Could you please provide me with the log message you would like me to abstract?",Started service 'sparkExecutorActorSystem' on port <*>' Started reading broadcast variable <*>. Successfully started service 'sparkExecutorActorSystem' on port <*>.,Started service {<*>} on port {<*>}.' Could you please provide me with the log message you would like me to abstract?
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E7,Created local directory at <*>,115,"Created local directory {directory}'
Started reading broadcast variable {variable}","Created local directory at {path}'
Please provide me with the log message you would like me to abstract.",Created local directory <*>' Started reading broadcast variable <*>,Created local directory at <*>' Please provide me with the log message you would like me to abstract.
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,69,"MemoryStore started with capacity {capacity:.2f}'
Started reading broadcast variable {variable}",MemoryStore started with capacity {capacity} GB,MemoryStore started with capacity <*>' Started reading broadcast variable <*>,MemoryStore started with capacity <*> GB
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,E6,Connecting to driver: <*>,84,"Connecting to driver: {driver}'
Started reading broadcast variable {variable}","Connecting to driver: {protocol}://{driver_url}:{driver_port}'
Could you please provide me with the log message you would like me to abstract?",Connecting to driver: <*>' Started reading broadcast variable <*>,Connecting to driver: <*>://<*>' Could you please provide me with the log message you would like me to abstract?
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,E32,Successfully registered with driver,64,"Registered with driver'
Started reading broadcast variable {variable}",Registered with driver,Registered with driver' Started reading broadcast variable <*>,Registered with driver
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,E30,Starting executor ID <*> on host <*>,73,"Starting executor ID {executor_id} on host {host}'
Started reading broadcast variable {variable} on host mesos-slave-07","Starting executor ID {executor_id} on host
{host}",Starting executor ID <*> on host <*>' Started reading broadcast variable <*> on host mesos-slave-<*>,Starting executor ID <*> on host <*>
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,82,"Started service {service}'
Started reading broadcast variable {variable}","Started service {service} on port {port}'
The template of 'Failed to start service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.' is 'Failed to start service {service} on port {port}'
The template of 'The broadcast variable with index 9 has been read.' is 'The broadcast variable with index {index} has been read.'
The template of 'The broadcast variable with index 9 has been updated.'
The template of 'The broadcast variable with index 9 has been updated.' is 'The broadcast variable with index {index} has been updated.'",Started service <*>' Started reading broadcast variable <*>,of 'Failed to start service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.' is 'Failed to start service <*> on port <*>' The
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,E27,Server created on <*>,66,"Server created on {server}'
Started reading broadcast variable {variable}","Server created on {server_port}'
Please provide me with the log message you would like me to analyze and format.",Server created on <*>' Started reading broadcast variable <*>,Server created on <*>' Please provide me with the log message you would like me to analyze and format.
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,E36,Trying to register BlockManager,65,"Trying to register {blockManager}'
Started reading broadcast variable {variable}","Trying to register BlockManager {hostname}:{port}'
Could you please provide me with the log message you would like me to process and abstract?",Trying to register <*>' Started reading broadcast variable <*>,Trying to register BlockManager <*>' Could you please provide me with the log message you would like me to process and abstract?
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,E21,Registered BlockManager,63,Registered {name} BlockManager,"Registered BlockManager'
Please provide me with the log message you would like me to process and abstract.",Registered <*> BlockManager,Registered BlockManager' Please provide me with the log message you would like me to process and abstract.
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,E11,Got assigned task <*>,65,"Got assigned task {task}'
Started reading broadcast variable {variable}
Got assigned task {task}","Got assigned task {task}'
Could you please provide me with the log message you would like me to process and abstract?",Got assigned task <*>' Started reading broadcast variable <*> Got assigned task <*>,Got assigned task <*>' Could you please provide me with the log message you would like me to process and abstract?
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,E11,Got assigned task <*>,65,"Got assigned task {task}'
Started reading broadcast variable {variable}
Got assigned task {task}","Got assigned task {task}'
Could you please provide me with the log message you would like me to process and abstract?",Got assigned task <*>' Started reading broadcast variable <*> Got assigned task <*>,Got assigned task <*>' Could you please provide me with the log message you would like me to process and abstract?
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,E11,Got assigned task <*>,65,"Got assigned task {task}'
Started reading broadcast variable {variable}
Got assigned task {task}","Got assigned task {task}'
Could you please provide me with the log message you would like me to process and abstract?",Got assigned task <*>' Started reading broadcast variable <*> Got assigned task <*>,Got assigned task <*>' Could you please provide me with the log message you would like me to process and abstract?
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,E11,Got assigned task <*>,65,"Got assigned task {task}'
Started reading broadcast variable {variable}
Got assigned task {task}","Got assigned task {task}'
Could you please provide me with the log message you would like me to process and abstract?",Got assigned task <*>' Started reading broadcast variable <*> Got assigned task <*>,Got assigned task <*>' Could you please provide me with the log message you would like me to process and abstract?
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),E24,Running task <*> in stage <*> (TID <*>),79,"Running task {task_index}'
Started reading broadcast variable {variable}",Running task {task} in stage {stage} (TID {tid}),Running task <*>' Started reading broadcast variable <*>,Running task <*> in stage <*> (TID <*>)
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),E24,Running task <*> in stage <*> (TID <*>),79,"Running task {task} in stage {stage}'
Started reading broadcast variable 9
Running task 2.0 in stage 0.0 (TID 2)",Running task {task}.{stage} (TID {tid}),Running task <*> in stage <*>' Started reading broadcast variable <*> Running task <*> in stage <*> (TID <*>),Running task <*> (TID <*>)
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),E24,Running task <*> in stage <*> (TID <*>),79,"Running task {task_name}.{task_version} in stage {stage_name}'
Started reading broadcast variable {variable}",Running task {task}.{stage} (TID {tid}),Running task <*> in stage <*>' Started reading broadcast variable <*>,Running task <*> (TID <*>)
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),E24,Running task <*> in stage <*> (TID <*>),79,"Running task {task} in stage {stage}'
Started reading broadcast variable 9
Running task 3.0 in stage 0.0 (TID 3)",Running task {task}.{stage} (TID {tid}),Running task <*> in stage <*>' Started reading broadcast variable <*> Running task <*> in stage <*> (TID <*>),Running task <*> (TID <*>)
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,E11,Got assigned task <*>,65,"Got assigned task {task}'
Started reading broadcast variable {variable}
Got assigned task {task}","Got assigned task {task}'
Could you please provide me with the log message you would like me to process and abstract?",Got assigned task <*>' Started reading broadcast variable <*> Got assigned task <*>,Got assigned task <*>' Could you please provide me with the log message you would like me to process and abstract?
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),E24,Running task <*> in stage <*> (TID <*>),79,"Running task {task} in stage {stage}'
Started reading broadcast variable 9
Running task 4.0 in stage 0.0 (TID 4)",Running task {task}.{stage} (TID {tid}),Running task <*> in stage <*>' Started reading broadcast variable <*> Running task <*> in stage <*> (TID <*>),Running task <*> (TID <*>)
31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,E29,Started reading broadcast variable <*>,66,Started reading broadcast variable {variable},Started reading broadcast variable {variable},Started reading broadcast variable <*>,Started reading broadcast variable <*>
32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",88,"Block broadcast_9_piece0 stored as bytes in memory (estimated size {size} KB, free {free} KB)","Block {block} stored as {storage} in memory (estimated size {size}, free {free})","Block broadcast_9_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,E20,Reading broadcast variable <*> took <*> ms,69,"Reading broadcast variable {variable} took {time}'
Started reading broadcast variable {variable}
Reading broadcast variable {variable} took {time}",Reading broadcast variable {variable} took {time} ms,Reading broadcast variable <*> took <*>' Started reading broadcast variable <*> Reading broadcast variable <*> took <*>,Reading broadcast variable <*> took <*> ms
34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)",85,"Block broadcast_9 stored as values in memory (estimated size {size}, free {free_space} KB)","Block broadcast_9 stored as values in memory (estimated size {size} KB, free {free} KB)","Block broadcast_9 stored as values in memory (estimated size <*>, free <*> KB)","Block broadcast_9 stored as values in memory (estimated size <*> KB, free <*> KB)"
35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it",E19,"Partition <*> not found, computing it",71,"Partition {partition} not found, computing it","Partition {rdd_name}_{partition_id} not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it"
36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it",E19,"Partition <*> not found, computing it",71,"Partition {partition} not found, computing it","Partition {rdd_name}_{partition} not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it"
