LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,166,"authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser={ruser} rhost={rhost}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}",authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,check pass; user unknown,E27,check pass; user unknown,135,"check pass; user={user}'
Based on the provided log message, we can abstract the dynamic variables and generate astatic log template:

```
authentication failure; logname={logname} uid={uid} euid={euid} tty=NODEVssh ruser={ruser} rhost={rhost}

check pass; user={user}","check pass; user={user} unknown'
Could you please provide me with the log message you would like me to abstract?",:  authentication failure; logname=<*> uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*> check pass; user=<*>,check pass; user=<*> unknown' Could you please provide me with the log message you would like me to abstract?
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,166,"authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser={ruser} rhost={rhost}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}",authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,177,"
authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Authentication failure; logname={logname}; uid={uid}; euid={euid}; tty=NODEVssh; ruser={ruser}; rhost={rhost}; user={user}","authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user}'
Could you please provide me with the log message you would like me to parse?",authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Authentication failure; logname=<*>; uid=<*>; euid=<*>; tty=NODEVssh; ruser=<*>; rhost=<*>; user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>' Could you please provide me with the log message you would like me to parse?
