LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},171,43,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,176,43,{{class}}({{address}})::{{method}} - {{message}},175,16,IOThunderboltSwitch({address})::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},176,41,{class}({address})::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},162,33,{class}({address})::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},162,33,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = <*>,{<*>}({<*>})::{<*>} - {<*>},IOThunderboltSwitch(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: {thermal_pressure} Memory pressure state: {memory_pressure},144,24,Thermal pressure state: {state} Memory pressure state: {state},148,17,Thermal pressure state: {thermal_pressure} Memory pressure state: {memory_pressure},147,24,Thermal pressure state: {thermal_pressure_state} Memory pressure state: {memory_pressure_state},148,28,{state1} {state2},138,9,Thermal pressure state: {pressure} Memory pressure state: {memory},138,17,Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: <*> Memory pressure state: <*>,Thermal pressure state: <*> Memory pressure state: <*>,<*> <*>,Thermal pressure state: <*> Memory pressure state: <*>
3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,E216,FA||Url||taskID[<*>] dealloc,FA||Url||taskID[{taskID}] dealloc,150,14,FA||Url||taskID[2019352994] dealloc,154,21,FA||Url||taskID[{taskID}] dealloc,153,13,FA||Url||taskID[{task_id}] dealloc,154,14,{function}[{id}] dealloc,144,10,{app_name}[{task_id}] dealloc,144,14,FA||Url||taskID[<*>] dealloc,FA||Url||taskID[<*>] dealloc,FA||Url||taskID[<*>] dealloc,FA||Url||taskID[<*>] dealloc,<*>[<*>] dealloc,<*>[<*>] dealloc
4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],E128,ARPT: <*>: <*>::syncPowerState: WWEN[enabled],ARPT: {timestamp}: AirPort_Brcm43xx::syncPowerState: WWEN[{state}],168,28,ARPT: {timestamp}: {module}::{method},172,14,ARPT: {timestamp} - {moduleName}::{functionName}: {value},171,20,ARPT: {time}: AirPort_Brcm43xx::syncPowerState: WWEN[{enabled}],172,27,{class}({address})::{function}: {status}[{value}],160,18,AirPort_Brcm43xx::syncPowerState: WWEN[{enabled}],160,21,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],ARPT: <*>: <*>::<*>,ARPT: <*> - <*>::<*>: <*>,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],<*>(<*>)::<*>: <*>[<*>],AirPort_Brcm43xx::syncPowerState: WWEN[<*>]
5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],E124,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],ARPT: {time}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{wow}],170,31,ARPT: {timestamp}.{function}: {module}::{function},174,17,ARPT:{timestamp}:{class}::{method},173,13,ARPT: {time}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{enable|disable}],174,31,{class}({address})::{function}: {message},162,14,AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],162,22,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],ARPT: <*>: <*>::<*>,ARPT:<*>::<*>,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[{enable|disable}],<*>(<*>)::<*>: <*>,AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]
6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({address}),184,22,Frequent transitions for interface {interface} ({address}).,188,13,mDNS_DeregisterInterface: Frequent transitions for interface {address},187,19,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({macAddress}),188,23,{function}: Frequent transitions for interface {interface} ({address}),177,16,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({reason}),177,22,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),Frequent transitions for interface <*> (<*>).,mDNS_DeregisterInterface: Frequent transitions for interface <*>,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),<*>: Frequent transitions for interface <*> (<*>),mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>)
7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",E135,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,","ARPT: {timestamp}: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': {ExternalConnected}, 'TimeRemaining': {TimeRemaining},",181,46,"ARPT: {time}.{sleepType}: {connected}: {timeRemaining}, {extConnect}",187,23,"ARPT: {timestamp} - IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, ExternalConnected: {connected}, TimeRemaining: {time}",186,41,"ARPT: {time}: IOPMPowerSource Information: onSleep,  SleepType: {sleep_type},  'ExternalConnected': {external_connected}, 'TimeRemaining': {time_remaining},",187,50,"{class}: {time}: {method} Information: {sleepType},  '{externalConnected}': {value}, '{timeRemaining}': {value}",175,38,{class}: {time},175,7,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': <*>, 'TimeRemaining': <*>,","ARPT: <*>: <*>: <*>, <*>","ARPT: <*> - IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, ExternalConnected: <*>, TimeRemaining: <*>","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>,","<*>: <*>: <*> Information: <*>, '<*>': <*>, '<*>': <*>",<*>: <*>
8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",E149,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>","ARPT: {timestamp}: wl{interface}: wl_update_tcpkeep_seq: Original Seq: {original_seq}, Ack: {ack}, Win size: {win_size}",201,45,ARPT: {num}: {interface}: {message},204,13,"ARPT: {timestamp}: wl{interface}: {function} - Original Seq: {original_seq}, Ack: {ack}, Win size: {win_size}",203,38,"ARPT: {time}: {interface}: wl_update_tcpkeep_seq: Original Seq: {originalSeq}, Ack: {ack}, Win size: {winSize}",204,40,"{class}: {timestamp}: {interface}: {function}: Original Seq: {sequence}, Ack: {ack}, Win size: {window}",195,34,ARPT: {device}: {function}: {message},195,13,"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",ARPT: <*>: <*>: <*>,"ARPT: <*>: <*>: <*> - Original Seq: <*>, Ack: <*>, Win size: <*>","ARPT: <*>: <*>: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>","<*>: <*>: <*>: <*>: Original Seq: <*>, Ack: <*>, Win size: <*>",ARPT: <*>: <*>: <*>
9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,E131,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,ARPT: {timestamp}: ARPT: Wake Reason: {wake_reason},163,20,ARPT: {wake_reason}.{scan_offload},167,16,ARPT: {timestamp} - Wake Reason: {wakeReason},166,19,ARPT: {time}: ARPT: Wake Reason: Wake on Scan offload,167,22,{class}: {time}: {class}: Wake Reason: {reason},153,16,{module}: {time} {reason},153,10,ARPT: <*>: ARPT: Wake Reason: <*>,ARPT: <*>,ARPT: <*> - Wake Reason: <*>,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,<*>: <*>: <*>: Wake Reason: <*>,<*>: <*> <*>
10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},162,34,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},164,32,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {switchValue},163,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {switch_value},164,34,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},155,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},155,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
