LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,134681,node-246,unix.hw,state_change.unavailable,1077804742,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{component_name}\042 is in the {state} state (HWID={hwid}),138,32,Component State Change: Component HWID=1973 is in the unavailable state (HWID=1973),139,28,Component State Change: Component {SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000} is in the unavailable state (HWID={1973}),138,77,Component SCSI-WWID:\{hwid\} is in the \{state\} state (HWID=\{hwid\}),139,28,Component State Change: Component {{Component_Name}} is in the {{State}} state (HWID={{Hardware_Id}}),137,28,{ComponentStateChange} is in the unavailable state (HWID={HardwareID}),137,20,Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component HWID=<*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component SCSI-WWID:\{hwid\} is in the \{state\} state (HWID=\{hwid\}),Component State Change: Component {<*>} is in the {<*>} state (HWID={<*>}),<*> is in the unavailable state (HWID=<*>)
2,350766,node-109,unix.hw,state_change.unavailable,1084680778,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component {component} is in the unavailable state (HWID={hwid}),86,22,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0423180\042),87,38,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042,86,256,Component State Change: Component {component_name} is in the {state} state (HWID={hwid}),87,25,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\{hwid}\),85,30,Component State Change: Component alt0 is in the unavailable state (HWID=3180),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0423180\042),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042\042,Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
3,344518,node-246,unix.hw,state_change.unavailable,1084270955,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{}\042 is in the unavailable state (HWID={}),86,26,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0345089\034),87,38,Component State Change: Component {alt0} is in the unavailable state (HWID=5089),86,25,Component State Change: Component <component> is in the <state> state (HWID=<hwid>),87,24,Component State Change: Component {component} is in the {state} state (HWID={hwid}),85,24,Component State Change: Component alt0 is in the unavailable state (HWID=5089),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0345089\034),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <component> is in the <state> state (HWID=<hwid>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
4,344448,node-153,unix.hw,state_change.unavailable,1084270952,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{}\042 is in the unavailable state (HWID={}),86,26,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0414088\042),87,38,Component State Change: Component {placeholders} is in the unavailable state (HWID={placeholders}),86,25,Component State Change: Component {component_name} is in the {state} state (HWID={hwid}),87,25,Component \042{component}\042 is in the {state} state (HWID={hwid}),85,27,Component State Change: Component alt0 is in the unavailable state (HWID=4088),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0414088\042),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component <*> is in the <*> state (HWID=<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
5,366633,node-200,unix.hw,state_change.unavailable,1085100843,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\031\037),87,34,Component State Change: Component {alt0} is in the unavailable state (HWID={2538}),86,25,Component State Change: Component <component> is in the <state> state (HWID=<hwid>),87,24,Component State Change: Component {component} is in the {state} state (HWID={hwid}),85,24,{componentStateChange}: {componentName} is in the unavailable state (HWID={hwId}),85,23,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\031\037),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <component> is in the <state> state (HWID=<hwid>),Component State Change: Component <*> is in the <*> state (HWID=<*>),<*>: <*> is in the unavailable state (HWID=<*>)
6,366463,node-122,unix.hw,state_change.unavailable,1085084674,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{component}\042 is in the unavailable state (HWID={hwid}),86,29,Component State Change: Component \035alt\035 is in the unavailable state (HWID=\0342480\034),87,37,Component State Change: Component {placeholders} is in the unavailable state (HWID={placeholders}),86,25,Component State Change: Component <component> is in the unavailable state (HWID=<hwid>),87,23,Component \042{component}\042 is in the {state} state ({hwid}),85,24,Component State Change: Component alt0 is in the unavailable state (HWID=2480),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \035alt\035 is in the unavailable state (HWID=\0342480\034),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <component> is in the unavailable state (HWID=<hwid>),Component <*> is in the <*> state (<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
7,438190,node-228,unix.hw,state_change.unavailable,1097194780,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component {component} is in the unavailable state (HWID={hwid}),86,22,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0373713\037),87,38,Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component {component} is in the {state} state (HWID={hwid}),87,23,Component \042{component}\042 is in the {state} state (HWID={hwid}),85,27,Component State Change: Component alt0 is in the unavailable state (HWID=3713),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0373713\037),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component <*> is in the <*> state (HWID=<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
8,225111,node-10,unix.hw,state_change.unavailable,1117296789,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component {component} is in the unavailable state (HWID={hwid}),86,22,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0423891\042),87,38,Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component <component> is in the <state> state (HWID=<hwid>),87,24,Component State Change: Component \042{component}\042 is in the {state} state ({hwid}),85,28,Component State Change: Component alt0 is in the unavailable state (HWID=3891),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0423891\042),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <component> is in the <state> state (HWID=<hwid>),Component State Change: Component <*> is in the <*> state (<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
9,360778,node-130,unix.hw,state_change.unavailable,1141108031,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{component}\042 is in the unavailable state (HWID={hwid}),86,29,Component State Change: Component \034alt\034 is in the \042unavailable\042 state (HWID=\0342478\034),87,45,Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component <component> is in the <state> state (HWID=<hwid>),87,24,Component \042{component}\042 is in the {state} state (HWID={hwid}),85,27,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),85,30,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \034alt\034 is in the \042unavailable\042 state (HWID=\0342478\034),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <component> is in the <state> state (HWID=<hwid>),Component <*> is in the <*> state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=<*>)
10,401569,node-169,unix.hw,state_change.unavailable,1142550406,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{}\042 is in the unavailable state (HWID={}),86,26,Component State Change: Component alt is in the unavailable state (HWID=2969),87,22,Component State Change: Component {HWID} is in the unavailable state,86,16,Component State Change: Component <component> is in the unavailable state (HWID=<hwid>),87,23,Component State Change: Component {component_name} is in the {state} state (HWID={hwid}),85,26,Component State Change: Component <Component Name> is in the <State> state (HWID=<Hardware ID>),85,26,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component alt is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state,Component State Change: Component <component> is in the unavailable state (HWID=<hwid>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component <Component Name> is in the <State> state (HWID=<Hardware ID>)
